,0
0,4004.0
1,1086.0
2,3048.0
3,3489.0
4,2861.0
5,3933.0
6,1461.0
7,294.0
8,4452.0
9,2254.0
10,1366.0
11,1748.0
12,616.0
13,4983.0
14,1439.0
15,1383.0
16,4671.0
17,4840.0
18,4143.0
19,1362.0
20,4781.0
21,150.0
22,4668.0
23,2431.0
24,569.0
25,710.0
26,317.0
27,881.0
28,4276.0
29,1390.0
30,4777.0
31,3757.0
32,1351.0
33,603.0
34,1051.0
35,2489.0
36,2761.0
37,3490.0
38,4427.0
39,248.0
40,1490.0
41,2985.0
42,667.0
43,1978.0
44,4205.0
45,3092.0
46,2041.0
47,4961.0
48,2854.0
49,1214.0
50,3911.0
51,3162.0
52,2650.0
53,2020.0
54,1139.0
55,3396.0
56,4566.0
57,4802.0
58,1029.0
59,2425.0
60,2849.0
61,1693.0
62,1917.0
63,2008.0
64,2098.0
65,3307.0
66,3417.0
67,4404.0
68,3548.0
69,3726.0
70,1478.0
71,3734.0
72,653.0
73,4442.0
74,1958.0
75,3091.0
76,458.0
77,1498.0
78,1337.0
79,2258.0
80,2799.0
81,822.0
82,4934.0
83,4189.0
84,1759.0
85,4078.0
86,699.0
87,4855.0
88,2320.0
89,4614.0
90,649.0
91,697.0
92,4488.0
93,4157.0
94,2094.0
95,4446.0
96,4916.0
97,3639.0
98,2175.0
99,1276.0
100,828.0
101,739.0
102,2754.0
103,830.0
104,724.0
105,1255.0
106,2544.0
107,1823.0
108,459.0
109,1203.0
110,1382.0
111,4266.0
112,1716.0
113,1458.0
114,4992.0
115,3328.0
116,1572.0
117,126.0
118,1567.0
119,4612.0
120,2872.0
121,2727.0
122,2736.0
123,4817.0
124,1429.0
125,2549.0
126,1312.0
127,4631.0
128,1399.0
129,3462.0
130,3464.0
131,9.0
132,4245.0
133,849.0
134,184.0
135,1926.0
136,376.0
137,1662.0
138,4167.0
139,2948.0
140,2328.0
141,2977.0
142,4953.0
143,3689.0
144,575.0
145,4044.0
146,2811.0
147,1688.0
148,404.0
149,3516.0
150,4457.0
151,2316.0
152,3810.0
153,4517.0
154,4288.0
155,565.0
156,707.0
157,3715.0
158,4286.0
159,24.0
160,861.0
161,632.0
162,3507.0
163,179.0
164,4162.0
165,1232.0
166,3937.0
167,4475.0
168,2072.0
169,430.0
170,2828.0
171,3408.0
172,2726.0
173,4332.0
174,2951.0
175,1715.0
176,1525.0
177,3134.0
178,390.0
179,2757.0
180,1838.0
181,4649.0
182,3675.0
183,4227.0
184,4562.0
185,2708.0
186,848.0
187,1604.0
188,3141.0
189,1634.0
190,4176.0
191,26.0
192,4656.0
193,749.0
194,793.0
195,630.0
196,3792.0
197,3719.0
198,4402.0
199,1641.0
200,1238.0
201,2296.0
202,1984.0
203,899.0
204,4834.0
205,3053.0
206,2684.0
207,156.0
208,2503.0
209,2506.0
210,4828.0
211,1155.0
212,4156.0
213,1347.0
214,2132.0
215,4910.0
216,2753.0
217,2648.0
218,4697.0
219,2878.0
220,2247.0
221,3855.0
222,3070.0
223,2621.0
224,1023.0
225,2883.0
226,377.0
227,558.0
228,4094.0
229,4727.0
230,1305.0
231,4406.0
232,3272.0
233,2126.0
234,4483.0
235,1295.0
236,764.0
237,18.0
238,4596.0
239,3130.0
240,4825.0
241,568.0
242,2479.0
243,846.0
244,1482.0
245,3825.0
246,4336.0
247,4703.0
248,482.0
249,2287.0
250,3532.0
251,2529.0
252,4642.0
253,4516.0
254,2898.0
255,1761.0
256,2548.0
257,201.0
258,3626.0
259,4900.0
260,2900.0
261,4480.0
262,2047.0
263,676.0
264,3782.0
265,4017.0
266,1542.0
267,1980.0
268,4940.0
269,660.0
270,2234.0
271,4572.0
272,4142.0
273,2233.0
274,144.0
275,3733.0
276,4357.0
277,816.0
278,4749.0
279,1591.0
280,3989.0
281,2418.0
282,1594.0
283,2399.0
284,484.0
285,992.0
286,3361.0
287,2159.0
288,4225.0
289,490.0
290,4606.0
291,3853.0
292,4666.0
293,1414.0
294,1826.0
295,2992.0
296,2031.0
297,70.0
298,3962.0
299,1392.0
300,1728.0
301,4896.0
302,2979.0
303,3288.0
304,3699.0
305,3261.0
306,17.0
307,59.0
308,2724.0
309,3409.0
310,4440.0
311,3949.0
312,1408.0
313,4340.0
314,460.0
315,718.0
316,524.0
317,693.0
318,2456.0
319,282.0
320,1357.0
321,1929.0
322,4134.0
323,4541.0
324,2788.0
325,1847.0
326,3423.0
327,2695.0
328,3459.0
329,3164.0
330,4663.0
331,2729.0
332,4581.0
333,508.0
334,3063.0
335,4411.0
336,2080.0
337,678.0
338,1650.0
339,1999.0
340,1690.0
341,1580.0
342,940.0
343,1149.0
344,3437.0
345,1558.0
346,359.0
347,4929.0
348,1397.0
349,1440.0
350,4046.0
351,32.0
352,3492.0
353,2263.0
354,1292.0
355,1389.0
356,2434.0
357,1030.0
358,2543.0
359,2747.0
360,152.0
361,1013.0
362,443.0
363,2698.0
